,id,retweet_count,favorite_count
7550,707738799544082433,2707,4389
7551,707693576495472641,1095,3667
7552,707629649552134146,960,2765
7553,707610948723478529,7041,18172
7554,707420581654872064,768,2441
7555,707411934438625280,655,2435
7556,707387676719185920,1435,3758
7557,707377100785885184,1179,3523
7558,707315916783140866,705,2644
7559,707297311098011648,880,2951
7560,707059547140169728,741,2755
7561,707038192327901184,879,2356
7562,707021089608753152,1507,4349
7563,707014260413456384,647,2462
7564,706904523814649856,8602,15613
7565,706901761596989440,662,2217
7566,706681918348251136,1061,3552
7567,706644897839910912,1200,2760
7568,706593038911545345,690,2309
7569,706538006853918722,1541,3704
7570,706516534877929472,1131,3322
7571,706346369204748288,1008,3689
7572,706310011488698368,8775,22991
7573,706291001778950144,511,1819
7574,706265994973601792,1004,2916
7575,706169069255446529,2440,4200
7576,706166467411222528,1766,5513
7577,706153300320784384,421,1599
7578,705975130514706432,810,3327
7579,705970349788291072,977,3368
7580,705898680587526145,621,2542
7581,705786532653883392,581,2092
7582,705591895322394625,1268,3397
7583,705475953783398401,1013,3172
7584,705442520700944385,1813,4776
7585,705428427625635840,1865,4085
7586,705239209544720384,822,3215
7587,705223444686888960,881,2762
7588,705102439679201280,566,2308
7589,705066031337840642,663,2329
7590,704871453724954624,1221,4524
7591,704859558691414016,601,2416
7592,704847917308362754,1688,5479
7593,704819833553219584,1107,2834
7594,704761120771465216,3183,7122
7595,704499785726889984,1092,3151
7596,704491224099647488,93,820
7597,704480331685040129,1161,3646
7598,704364645503647744,3893,8624
